ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_692,Ranunculus pseudobulbosus Schur.,Boglari pseudobulboși,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_693,Ranunculus repens L.,Boglari repenți,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_694,Ranunculus sceleratus L.,Boglari toxici,Magnoliopsida,Ranunculaceae,,, ,+, , ,,,,,C
P_695,Thalictrum lucidum L.,Rutișorlucios,Magnoliopsida,Ranunculaceae,,, +, , , ,,,,,C
P_696,Thalictrum minus L.,Rutișor mic,Magnoliopsida,Ranunculaceae,,, , ,+, ,,,,,C
P_697,Reseda lutea L.,Rechie galbenă,Magnoliopsida,Resedaceae,,, ,+,+, ,,,,,C
P_698,Frangula alnus Mill.,Crușin fragil,Magnoliopsida,Rhamnaceae,,, , ,+, ,,,,,C
P_699,Rhamnus cathartica L.,Verigar purgativ,Magnoliopsida,Rhamnaceae,,, , ,+, ,,,,,C
P_700,Agrimonia eupatoria L.,Turicioară comună,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_701,Agrimonia procera L.,Turicioară păroasă,Magnoliopsida,Rosaceae,,,+,+, , ,,,,,C
P_702,Amygdalus nana L.,Migdal pitic,Magnoliopsida,Rosaceae,,, , ,+, ,,,,,R
P_703,Cerasus avium (L.) Moench,Cireș păsăresc,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_704,Cotoneaster melanocarpus Fisch. ex Blytt,Bârcoace,Magnoliopsida,Rosaceae,,, , ,+, ,,,,,RR
P_705,Crataegus curvisepala Lindm.,Păducel curvisepal,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_706,Crataegus monogyna Jacq.,Păducel monogin ,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_707,Filipendula vulgaris Moench,Crețușcă comună,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_708,Filipendula ulmaria L. Maxim,Crețușcă ulmifolie,Magnoliopsida,Rosaceae,,, , , ,+,,,,,C
P_709,Fragaria campestris Stev.,Fragi campeștri,Magnoliopsida,Rosaceae,,, ,+,+, ,,,,,C
P_710,Fragaria vesca L.,Fragi comestibili,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_711,Fragaria viridis Duch.,Fragi verzi,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_712,Geum urbanum L.,Cerențel urban,Magnoliopsida,Rosaceae,,, +, , , ,,,,,C
P_713,Malus sylvestris Mill.,Măr pădureț,Magnoliopsida,Rosaceae,,, +, , , ,,,,,C
P_714,Potentilla arenaria L.,Scrântitoare arenicolă,Magnoliopsida,Rosaceae,,, ,+,+, ,,,,,C
P_715,Potentilla anserina L.,Coada racului,Magnoliopsida,Rosaceae,,, , , ,+,,,,,C
P_716,Potentilla argentea L.,Scrântitoare argintie,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_717,Potentilla obscura Willd.,Scrântitoare obscură,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_718,Potentilla recta L.,Scrântitoare erectă,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_719,Potentilla reptans L.,Scrântitoare repentă,Magnoliopsida,Rosaceae,,, ,+, ,+,,,,,C
P_720,Potentilla supina L.,Scrântitoare culcată,Magnoliopsida,Rosaceae,,, , , ,+,,,,,C
P_721,Poterium minor L.,Cebărea,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_722,Poterium polygamum Walds et Kit.,Sângeric poligam,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_723,Prunus spinosa L.,Porumbar,Magnoliopsida,Rosaceae,,, ,+,+, ,,,,,C
P_724,Pyrus pyraster Burgsd.,Păr pădureț,Magnoliopsida,Rosaceae,,, +, , , ,,,,,C
P_725,Rosa andegavensis Bast.,Măceș andegavean,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_726,Rosa canina L.,Măceș canin,Magnoliopsida,Rosaceae,,, ,+,+, ,,,,,C
P_727,Rosa corymbifera Borkh.,Măceș corimbifer,Magnoliopsida,Rosaceae,,, ,+, , ,,,,,C
P_728,Rosa gallica L.,Măceș galic,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_729,Rosa pimpinellifolia L.,Măceș pimpinelifoliu,Magnoliopsida,Rosaceae,,, , ,+, ,,,,,C
P_730,Rosa rubiginosa L.,Măceș ruginiu,Magnoliopsida,Rosaceae,,, , , , ,,,,,C
P_731,Rubus caesius L.,Mur pavonin,Magnoliopsida,Rosaceae,,, +, , , ,,,,,C
P_732,Rubus canescens DC.,Mur canescent,Magnoliopsida,Rosaceae,,, , , , ,,,,, 
P_733,Rubus idaeus L.,Zmeur,Magnoliopsida,Rosaceae,,, +, , , ,,,,,R
P_734,Sorbus domestica L.,Sorb domestic,Magnoliopsida,Rosaceae,,, +, , , ,,,,,R
P_735,Sorbus torminalis L.,Sorb,Magnoliopsida,Rosaceae,,, +, , , ,,,,,C
P_736,Asperula cynanchica L.,Lipitoare canină,Magnoliopsida,Rubiaceae,,, +,+, , ,,,,,C
P_737,Asperula odorata L.,Lipitoare odorantă,Magnoliopsida,Rubiaceae,,, ,+,+, ,,,,,C
P_738,Galium aparine L.,Turiță,Magnoliopsida,Rubiaceae,,, ,+, , ,,,,,C
P_739,Galium campanulatum Vill.,Drăgaică campanulată,Magnoliopsida,Rubiaceae,,, ,+, , ,,,,,C
P_740,Galium humifusum Bieb.,Drăgaică prostrată,Magnoliopsida,Rubiaceae,,, ,+, , ,,,,,C
P_741,Galium intermedium Schult.,Drăgaică intermedie,Magnoliopsida,Rubiaceae,,, +, , , ,,,,,C
P_742,Galium mollugo L.,Drăgaică moale,Magnoliopsida,Rubiaceae,,, +, , , ,,,,,C
P_743,Galium odoratum (L.) Scop.,Vinăriță,Magnoliopsida,Rubiaceae,,, ,+,+, ,,,,,C
P_744,Galium octonarium (Klok.) Soo,Drăgaică octofilă,Magnoliopsida,Rubiaceae,,, ,+, , ,,,,,C
P_745,Galium verum L.,Sânziene,Magnoliopsida,Rubiaceae,,, ,+, , ,,,,,C
P_746,Haplophyllum suaveolens Ledeb.,Haplofil odorant,Magnoliopsida,Rutaceae,,,+,,,,,,,,C
P_747,Populus alba L.,Plop alb,Magnoliopsida,Salicaceae,,, +, , ,+,,,,,C
P_748,Populus canacens (Ait) Smith,Plop canescent,Magnoliopsida,Salicaceae,,, +, , ,+,,,,,C
P_749,Populus tremula L.,Plop tremurător,Magnoliopsida,Salicaceae,,, +, , , ,,,,,C
P_750,Salix alba L.,Salcie albă,Magnoliopsida,Salicaceae,,, +, , ,+,,,,,C
P_751,Salix capraea L.,Salcie căprească,Magnoliopsida,Salicaceae,,, +, , ,+,,,,,C
P_752,Salix cinerea L.,Zăloagă,Magnoliopsida,Salicaceae,,, , , ,+,,,,,C
P_753,Salix viminalis L.,Mlaje,Magnoliopsida,Salicaceae,,, , , ,+,,,,,C
P_754,Salix fragilis L.,Salcie fragilă,Magnoliopsida,Salicaceae,,, , , ,+,,,,,C
P_755,Salix purpurea L.,Răchită roșie,Magnoliopsida,Salicaceae,,, ,+, ,+,,,,,C
P_756,Salix triandra L.,Salcie triandrică,Magnoliopsida,Salicaceae,,, ,+, , ,,,,,C
P_757,Sambucus ebulus L.,Boz,Magnoliopsida,Sambucaceae ,,,,,,,,,,,C
P_758,Thesium arvense Horvatvszky,Măciulie campestră,Magnoliopsida,Santhalaceae,,,,,,,,,,,C
P_759,Saxifraga tridactylites L.,Prescurice tridigitată,Magnoliopsida,Saxifragaceae,,,,,+,,,,,,RR
P_760,Lathraea squamaria L.,Șerpariță scvamoasă,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_761,Linaria genistifolia (L.) Mill. ,Linăriță genistifolie,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_762,Linaria vulgaris Mill.,Linăriță comună,Magnoliopsida,Scrophulariaceae,,, ,+,+, ,,,,,C
P_763,Melampyrum nemorosum L.,Sor-cu-frate,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_764,Odontites luteus (L.) Clairv. ,Dințură galbenă,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_765,Odontites vulgaris L.,Dințură comună,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_766,Scrophularia nodosa L.,Buberic noduros,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_767,Scrophularia vernalis L.,Buberic vernal,Magnoliopsida,Scrophulariaceae,,, +,+, , ,,,,,C
P_768,Verbascum bllattaria L.,Lumânărică obscură,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_769,Verbascum phoeniceum L.,Lumânărică violacee,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_770,Verbascum phlomoides L.,Lumânărică domnului,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_771,Verbascum speciosum Schrad.,Lumânărică uimitoare,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_772,Veronica anagalloides Guss.,Veronică anagaloidă,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_773,Veronica austriaca L,Veronică austriacă,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_774,Veronica arvensis L.,Veronică campestră,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_775,Veronica beccabunga L.,Bobornic,Magnoliopsida,Scrophulariaceae,,, , , ,+,,,,,C
P_776,Veronica chamaedrys L.,Stejărel,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_777,Veronica hederifolia L.,Veronică hederifolie,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_778,Veronica jacquinii Baumg.,Veronică Jacquin,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_779,Veronica officinalis L.,Veronică medicinală,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_780,Veronica persica Poir.,Veronică persiană,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_781,Veronica polita Fries.,Veronică lucioasă,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_782,Veronica prostrata L.,Veronică prostrată,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_783,Veronica praecox All.,Veronică precoce,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_784,Veronica serpyllifolia L.,Veronică serpilifolie,Magnoliopsida,Scrophulariaceae,,, +, , , ,,,,,C
P_785,Veronica spicata L.,Băieței,Magnoliopsida,Scrophulariaceae,,, ,+, , ,,,,,C
P_786,Veronica teucrium L.,Veronică teucrioidă,Magnoliopsida,Scrophulariaceae,,, ,+,+, ,,,,,C
P_787,Ailanthus altissima (Miller) Swigle,Cenușer înalt,Magnoliopsida,Simaroubaceae,,, +,+,+, ,,,,,C
P_788,Datura stramonium L. ,Ciumăfaie comună,Magnoliopsida,Solonaceae,,, +,+, , ,,,,,C
P_789,Hyoscyamus niger L.,Măselariță neagră,Magnoliopsida,Solonaceae,,, +,+, , ,,,,,C
P_790,Physalis alkekengi L.,Păpălău comun,Magnoliopsida,Solonaceae,,, +, , , ,,,,,C
P_791,Scopolia carniolica Jacq.,Mutulică comună,Magnoliopsida,Solonaceae,,, +, , , ,,,,,RR
P_792,Solanum dulcamara L.,Zârnă dulcamară,Magnoliopsida,Solonaceae,,, +,+, , ,,,,,C
P_793,Solanum nigrum L.,Zârnă neagră,Magnoliopsida,Solonaceae,,, +,+, , ,,,,,C
P_794,Staphyllea pinnata L.,Clocotiș,Magnoliopsida, Staphyleaceae,,, +,,,,,,,,R
P_795,Typha angustifolia L.,Papură angustifolie,Magnoliopsida,Thyphaceae,,,,,, +,,,,,C
P_796,Typha  latifolia L.,Papură latifolie,Magnoliopsida,Thyphaceae,,,,,, +,,,,,C
P_797,Tilia cordata Mill.,Tei roșu,Magnoliopsida,Tiliaceae,,, +,,,,,,,,C
P_798,Tilia tomentosa Moench.,Tei argintiu,Magnoliopsida,Tiliaceae,,, +,,,,,,,,C
P_799,Ulmus carpinifolia Rupp. ex Suckow,Ulmcarpinifoliu,Magnoliopsida,Ulmaceae,,, +,,,,,,,,C
P_800,Ulmus glabra Huds.,Ulm glabru,Magnoliopsida,Ulmaceae,,, +,,,,,,,,C
P_801,Ulmus laevis Pall.,Velniș,Magnoliopsida,Ulmaceae,,, +,,,,,,,,C
P_802,Parietaria officinalis L.,Parachelniță officinalis,Magnoliopsida,Urticaceae,,, +, , ,,,,,,C
P_803,Urtica dioica L.,Urzică dioica,Magnoliopsida,Urticaceae,,, +,+, ,,,,,,C
P_804,Urtica urens L.,Urzică arzătoare,Magnoliopsida,Urticaceae,,, +,+, ,,,,,,C
P_805,Valeriana collina Wallr.,Odolean colinar,Magnoliopsida,Valerianaceae,,, ,+,,,,,,,C
P_806,Valeriana officinalis L.,Odolean medicinal,Magnoliopsida,Valerianaceae,,, +, ,,,,,,,C
P_807,Verbena officinalis L.,Sporici medicinal,Magnoliopsida,Verbenaceae,,,,+,,,,,,,C
P_808,Viola alba Bess.,Toporaș alb,Magnoliopsida,Violaceae,,, +,+, , ,,,,,C
P_809,Viola ambigua Waldst. & Kit. ,Toporaș dubios,Magnoliopsida,Violaceae,,, +,+, , ,,,,,C
P_810,Viola arvensis Murr.,Toporaș campestru,Magnoliopsida,Violaceae,,, ,+, , ,,,,,C
P_811,Viola elatior Fries,Toporaș înalt,Magnoliopsida,Violaceae,,, +, , , ,,,,,C
P_812,Viola hirta L.,Toporaș aspru ,Magnoliopsida,Violaceae,,, ,+,+, ,,,,,C
P_813,Viola mirabilis L.,Toporaș minunat,Magnoliopsida,Violaceae,,, +,+, , ,,,,,C
P_814,Viola odorata L.,Toporaș odorat,Magnoliopsida,Violaceae,,, +, , , ,,,,,C
P_815,Viola reichenbachiana Jord. ex Boreau,Toporaș Reichenbach,Magnoliopsida,Violaceae,,, +, , , ,,,,,C
P_816,Viola suavis Bieb.,Toporaș plăcut,Magnoliopsida,Violaceae,,, +,+, , ,,,,,C
P_817,Viola tricolor L.,Tricolori,Magnoliopsida,Violaceae,,, ,+,+, ,,,,,C
P_818,Centaurea ruthenica Lam,,,,,Trebujeni,,,,,,,,,
P_819,Crepis tectorum L.,,,,,Morovaia,,,,,,,,,
P_820,Lactuca saligna L,,,,,"Mășcăuți, Ivancea",,,,,,,,,
P_821,Leontodon biscutelifolius DC.,,,,,"Morovaia, Trebujeni",,,,,,,,,
P_822,Podospermum laciniatum (L.) DC.,,,,,"Mășcăuți, Butuceni",,,,,,,,,
P_823,Potentilla obscura Willd.,,,,,"Tîgănești, Trebujeni",,,,,,,,,
P_824,Rosa andegavensis Dost.,,,,,"Trebujeni, Butuceni",,,,,,,,,
P_825,Rosa gallica L.,,,,,Trebujeni,,,,,,,,,
P_826,Rosa rubiginosa L.,,,,,"Trebujeni, Mașcauți",,,,,,,,,
P_827,Rubus canescens DC.,,,,,Butuceni,,,,,,,,,
P_828,Sonchus palustris L.,,,,,"Mășcăuți, Butuceni, Trebujeni",,,,,,,,,
P_829,Aconitum lasiostomum Rchb. ex Besser,,,,Silvicolă / Favorabilă,"Ivancea, Teleșeu, Seliște, Vatici, Trebujeni",,,,,+, , ,EN,
P_830,Allium inaequale Janka,,,,Stepică / Favorabilă,Mășcăuți,,,,,+, , ,VU,
P_831,Alyssum gmelinii Jord.,,,,Petricolă / Favorabilă,Trebujeni,,,,,+, , ,VU,
P_832,Athyrium filix-femina (L.) Roth,,,,Silvicolă / Nefavorabilă,Vatici,,,,,+, , ,VU,
P_833,Cephalanthera damasonium (Mill.) Druce,,,,Silvicolă / Favorabilă,"Ivancea, Vatici",,,,,+, , ,VU,
P_834,Cephalanthera longifolia (L.) Fritsch,,,,Silvicolă / Necunoscută,"Teleșeu, Țigănești",,,,,+, , ,VU,
P_835,Cephalanthera rubra (L.) Rich.,,,,Silvicolă / Necunoscută,"Ivancea, Vatici",,,,,+, , ,CR,
P_836,Cotoneaster melanocarpus Fisch. ex A.Blytt,,,,Petricolă / Favorabilă,Trebujeni,,,,,+, , ,EN,
P_837,Cypripedium calceolus L.  ,,,,Silvicolă / Nefavorabilă,"Ivancea, Seliște",,,,,+,+,+,CR,
P_838,Dentaria glandulosa Waldst. et Kit  ,,,,Silvicolă / Necunoscută,"Ivancea, Vatici, Bravicea",,,,,+, , ,VU,
P_839,Dentaria quinquefolia M.Bieb.  ,,,,Silvicolă / Necunoscută,"Ivancea, Vatici, Bravicea",,,,,+, , ,EN,
P_840,Dryopteris carthusiana H.P. Fuchs,,,,Silvicolă / Necunoscută,"Seliște, Vatici",,,,,+, , ,EN,
P_841,Dryopteris filix-mas (L.) Schott  ,,,,Silvicolă / Necunoscută,"Ivancea, Teleșeu, Seliște, Vatici, Bravicea",,,,,+, , ,VU,
P_842,Epipactis purpurata Smith.,,,,Silvicolă / Favorabilă,"Ivancea, Teleșeu, Seliște, Vatici, Bravicea",,,,,+, , ,CR,
P_843,Fritillaria montana Hoppe ex W.D.J. Koch  ,,,,Silvicolă / Favorabilă,"Tribujeni, Ivancea",,,,,+,+, ,VU,
P_844,Galanthus nivalis L.,,,,Silvicolă / Nefavorabilă,"Ivancea, Teleșeu, Seliște, Vatici, Bravicea",,,,,+, ,+,VU,
P_845,Genista tetragona Besser,,,,Petricolă / Favorabilă,Mășcăuți,,,,,+,+, ,VU,
P_846,Gymnocarpium robertianum (Hoffm) Newman,,,,Petricolă / Nefavorabilă,Trebujeni,,,,,+, , ,CR,
P_847,Helianthemum canum (L.) Hornem.,,,,Petricolă / Favorabilă,"Trebujeni, Butuceni, Morovaia, Mășcăuți",,,,,+, , ,VU,
P_848,Jurinea stoechadifolia (M. Bieb.) DC.,,,,Petricolă / Favorabilă,"Mășcăuți, Morovaia",,,,,+, , ,VU,
P_849,Koeleria moldavica M. Alexeenco.  ,,,,Stepică / Nefavorabilă,Ivancea,,,,,+, , ,VU,
P_850,Ophioglossum vulgatum L.  ,,,,Praticolă / Necunoscută,Ivancea,,,,,+, , ,CR,
P_851,Orchis purpurea Huds,,,,Praticolă / Favorabilă,"Seliște, Teleșeu, Vatici, Bravicea",,,,,+, , ,CR,
P_852,Ornithogalum boucheanum (Kunth) Asch.,,,,Praticolă / Necunoscută,"Trebujeni, Brănești",,,,,+, , ,EN,
P_853,Paronychia cephalotes (M.Bieb.) Besser,,,,Petricolă / Favorabilă,"Mășcăuți, Morovaia",,,,,+, , ,CR,
P_854,Pulsatilla grandis Wender.,,,,Stepică / Favorabilă,Trebujeni,,,,,+, , ,EN,
P_855,Saxifraga tridactylites L.  ,,,,Petricolă / Favorabilă,"Trebujeni, Mășcăuți",,,,,+, , ,CR,
P_856,Schivereckia podolica (Bess.) Andrz.,,,,Petricolă / Favorabilă,"Trebujeni, Mășcăuți",,,,,+,+, ,VU,
P_857,Scopolia carniolica Jacq.  ,,,,Silvicolă / Favorabilă,"Bravicea, Țîgănești",,,,,+, , ,VU,
P_858,Sempervivum ruthenicum (W. D. J. Koch) Schnittsp. et C. B. Lehm.,,,,Petricolă / Favorabilă,Trebujeni,,,,,+, , ,CR,
P_859,Seseli peucedanifolium Besser,,,,Stepică / Favorabilă,"Trebujeni, Butuceni, Morovaia",,,,,+, , ,VU,
P_860,Sorbus domestica L.,,,,Silvicolă / Necunoscută,"Ivancea, Seliște, Bravicea, Trebujeni",,,,,+, , ,EN,
P_861,Thelypteris palustris Schott  ,,,,Praticolă / Necunoscută,Seliște,,,,,+, , ,EN,
