ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_147,Inula hirta L.,Sovârvăriță hirsută,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_148,Inula oculus-christi L.,Ochiul-lui-Cristos,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_149,Inula salicina L.,Sovârvăriță salicină,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_150,Jurinea mollis L.,Jurinee moale,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,C
P_151,Jurinea stoechadifolia (M. Bieb.) DC.,Jurinee integrifolie,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,RR
P_152,Lactuca serriola L,Lăptucă serată,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_153,Lactuca quercina L.,Lăptucă silvatică,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_154,Lactuca saligna L.,Lăptucă salicină,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_155,Lapsana communis L.,Zgrăbunțică comună,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_156,Leontodon hispidus L.,Leontel hispid,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_157,Leontodon biscutellifolius DC.,Leontel biscutelifoliu,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_158,Leucanthemum vulgare Lam. ,Bumbișor comun,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_159,Matricaria perforata Merat.,Mărăriță perforată,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_160,Mycelis muralis (L.) Dumort.,Tâlhărea murală,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_161,Onopordum acanthium L.,Scăiete comun,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_162,Picris heracioides L.,Amăruță hieracioidă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_163,Podospermum canum C.A.Mey.,Podosperm cărunt,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,R
P_164,Podospermum laciniatum (L.) DC.,Podosperm laciniat,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_165,Pyrethrum corymbosum (L.) Scop.,Năpraznic corimbos,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_166,Scorzonera purpurea L.,Lăptiucă purpurie,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,RR
P_167,Senecio erucifolius L.,Bătătorniță,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_168,Senecio jacobaea L.,Cruciuliță praticolă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_169,Senecio vernalis Waldst. et Kit.,Cruciuliță vernală,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_170,Serratula radiata (Walldst. et Kit.)M.Bieb.,Gălbinare radiată,Magnoliopsida,Asteraceae,,, , , , ,,,,,R
P_171,Serratula tinctoria L.,Gălbinare tinctorială,Magnoliopsida,Asteraceae,,, +,+, , ,,,,,C
P_172,Sonchus arvensis L.,Susai campestru,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_173,Sonchus asper (L.) Hill.,Susai aspru,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_174,Sonchus palustris L.,Susai palustru,Magnoliopsida,Asteraceae,,, , , , ,,,,, 
P_175,Tanacetum milefolium (L.)Tzvel.,Vetrice plurifolie,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
